x,T,thermo:psi,rho,thermo:mu,thermo:alpha,thermo:as,thermo:Z,Cp,he
2.49875e-07,90.0325,6.26547e-06,851.242,0.00017605,7.60356e-05,616.706,0.158188,2032.2,-403001
7.49625e-07,90.13,6.2808e-06,850.628,0.000175176,7.58207e-05,615.691,0.158131,2033.62,-402803
1.24938e-06,90.26,6.30131e-06,849.808,0.000174016,7.55344e-05,614.34,0.158056,2035.53,-402539
1.74913e-06,90.39,6.32191e-06,848.986,0.000172865,7.52481e-05,612.992,0.157981,2037.45,-402274
2.24888e-06,90.52,6.34261e-06,848.161,0.000171722,7.49619e-05,611.645,0.157908,2039.38,-402009
2.74863e-06,90.65,6.3634e-06,847.335,0.000170588,7.46759e-05,610.3,0.157835,2041.33,-401744
3.24838e-06,90.78,6.38429e-06,846.507,0.000169463,7.43899e-05,608.957,0.157763,2043.29,-401478
3.74813e-06,90.91,6.40527e-06,845.677,0.000168346,7.41041e-05,607.616,0.157692,2045.26,-401212
4.24788e-06,91.04,6.42635e-06,844.845,0.000167238,7.38183e-05,606.277,0.157622,2047.24,-400946
4.74763e-06,91.17,6.44753e-06,844.01,0.000166138,7.35327e-05,604.94,0.157553,2049.24,-400680
5.24738e-06,91.3,6.46882e-06,843.174,0.000165046,7.32472e-05,603.604,0.157484,2051.26,-400414
5.74713e-06,91.43,6.4902e-06,842.336,0.000163963,7.29618e-05,602.271,0.157417,2053.28,-400147
6.24688e-06,91.56,6.51168e-06,841.495,0.000162888,7.26765e-05,600.939,0.157351,2055.32,-399880
6.74663e-06,91.69,6.53326e-06,840.653,0.000161821,7.23913e-05,599.609,0.157285,2057.38,-399612
7.24638e-06,91.82,6.55495e-06,839.808,0.000160762,7.21063e-05,598.281,0.15722,2059.45,-399345
7.74613e-06,91.95,6.57673e-06,838.961,0.00015971,7.18214e-05,596.955,0.157156,2061.53,-399077
8.24588e-06,92.08,6.59863e-06,838.113,0.000158667,7.15366e-05,595.631,0.157093,2063.63,-398809
8.74563e-06,92.21,6.62062e-06,837.262,0.000157632,7.12519e-05,594.309,0.157031,2065.75,-398540
9.24538e-06,92.34,6.64273e-06,836.409,0.000156605,7.09674e-05,592.988,0.15697,2067.88,-398272
9.74513e-06,92.47,6.66494e-06,835.553,0.000155585,7.0683e-05,591.669,0.15691,2070.02,-398003
1.02449e-05,92.6,6.68725e-06,834.696,0.000154573,7.03987e-05,590.352,0.156851,2072.18,-397734
1.07446e-05,92.73,6.70968e-06,833.836,0.000153568,7.01146e-05,589.037,0.156792,2074.35,-397464
1.12444e-05,92.86,6.73221e-06,832.975,0.000152571,6.98307e-05,587.723,0.156735,2076.54,-397194
1.17441e-05,92.99,6.75485e-06,832.111,0.000151582,6.95469e-05,586.411,0.156678,2078.74,-396924
1.22439e-05,93.12,6.7776e-06,831.245,0.0001506,6.92632e-05,585.101,0.156622,2080.96,-396654
1.27436e-05,93.25,6.80046e-06,830.376,0.000149626,6.89797e-05,583.793,0.156568,2083.2,-396383
1.32434e-05,93.38,6.82343e-06,829.506,0.000148659,6.86963e-05,582.486,0.156514,2085.45,-396112
1.37431e-05,93.51,6.84652e-06,828.633,0.000147699,6.84131e-05,581.181,0.156461,2087.72,-395841
1.42429e-05,93.64,6.86972e-06,827.758,0.000146746,6.813e-05,579.878,0.156409,2090.01,-395569
