x,T,thermo:psi,rho,thermo:mu,thermo:alpha,thermo:as,thermo:Z,Cp,he
2.49875e-07,90.0325,6.00503e-06,857.582,0.000185582,7.93668e-05,632.724,0.21372,2000.57,-402466
7.49625e-07,90.13,6.01898e-06,856.994,0.000184678,7.91577e-05,631.726,0.213635,2001.79,-402271
1.24938e-06,90.26,6.03764e-06,856.21,0.000183478,7.88789e-05,630.398,0.213523,2003.43,-402011
1.74913e-06,90.39,6.05637e-06,855.424,0.000182288,7.86003e-05,629.072,0.213411,2005.08,-401750
2.24888e-06,90.52,6.07518e-06,854.636,0.000181106,7.83217e-05,627.749,0.213301,2006.75,-401489
2.74863e-06,90.65,6.09407e-06,853.847,0.000179933,7.80433e-05,626.427,0.213192,2008.42,-401228
3.24838e-06,90.78,6.11304e-06,853.056,0.000178769,7.7765e-05,625.108,0.213085,2010.1,-400967
3.74813e-06,90.91,6.13209e-06,852.263,0.000177614,7.74868e-05,623.79,0.212978,2011.79,-400706
4.24788e-06,91.04,6.15122e-06,851.468,0.000176467,7.72087e-05,622.475,0.212872,2013.5,-400444
4.74763e-06,91.17,6.17043e-06,850.671,0.000175328,7.69307e-05,621.161,0.212768,2015.21,-400182
5.24738e-06,91.3,6.18972e-06,849.872,0.000174198,7.66529e-05,619.85,0.212664,2016.94,-399920
5.74713e-06,91.43,6.2091e-06,849.072,0.000173077,7.63752e-05,618.54,0.212562,2018.68,-399658
6.24688e-06,91.56,6.22855e-06,848.27,0.000171964,7.60976e-05,617.233,0.212461,2020.42,-399395
6.74663e-06,91.69,6.24809e-06,847.466,0.000170859,7.58202e-05,615.928,0.212361,2022.18,-399132
7.24638e-06,91.82,6.26772e-06,846.661,0.000169763,7.55429e-05,614.625,0.212262,2023.95,-398869
7.74613e-06,91.95,6.28742e-06,845.853,0.000168674,7.52657e-05,613.323,0.212164,2025.73,-398606
8.24588e-06,92.08,6.30721e-06,845.044,0.000167594,7.49887e-05,612.024,0.212068,2027.52,-398343
8.74563e-06,92.21,6.32709e-06,844.233,0.000166522,7.47118e-05,610.727,0.211972,2029.33,-398079
9.24538e-06,92.34,6.34705e-06,843.42,0.000165458,7.4435e-05,609.432,0.211878,2031.14,-397815
9.74513e-06,92.47,6.3671e-06,842.605,0.000164401,7.41584e-05,608.138,0.211785,2032.97,-397551
1.02449e-05,92.6,6.38724e-06,841.788,0.000163353,7.3882e-05,606.847,0.211693,2034.8,-397287
1.07446e-05,92.73,6.40746e-06,840.97,0.000162313,7.36057e-05,605.558,0.211602,2036.65,-397022
1.12444e-05,92.86,6.42777e-06,840.149,0.00016128,7.33295e-05,604.27,0.211512,2038.52,-396757
1.17441e-05,92.99,6.44817e-06,839.327,0.000160255,7.30535e-05,602.985,0.211423,2040.39,-396492
1.22439e-05,93.12,6.46866e-06,838.503,0.000159237,7.27777e-05,601.701,0.211335,2042.27,-396227
1.27436e-05,93.25,6.48924e-06,837.677,0.000158227,7.25021e-05,600.419,0.211249,2044.17,-395961
1.32434e-05,93.38,6.50991e-06,836.849,0.000157225,7.22266e-05,599.139,0.211163,2046.08,-395695
1.37431e-05,93.51,6.53067e-06,836.019,0.00015623,7.19513e-05,597.861,0.211079,2048,-395429
1.42429e-05,93.64,6.55152e-06,835.187,0.000155243,7.16761e-05,596.585,0.210996,2049.94,-395163
1.47426e-05,93.77,6.57247e-06,834.353,0.000154263,7.14011e-05,595.311,0.210914,2051.88,-394896
1.52424e-05,93.9,6.5935e-06,833.517,0.00015329,7.11263e-05,594.039,0.210833,2053.84,-394629
1.57421e-05,94.03,6.61463e-06,832.68,0.000152324,7.08517e-05,592.768,0.210754,2055.81,-394362
1.62419e-05,94.16,6.63586e-06,831.84,0.000151366,7.05773e-05,591.499,0.210675,2057.8,-394095
1.67416e-05,94.29,6.65718e-06,830.998,0.000150415,7.0303e-05,590.232,0.210598,2059.79,-393827
1.72414e-05,94.42,6.67859e-06,830.155,0.000149471,7.00289e-05,588.967,0.210521,2061.8,-393559
1.77411e-05,94.55,6.7001e-06,829.309,0.000148533,6.9755e-05,587.704,0.210446,2063.83,-393291
1.82409e-05,94.68,6.72171e-06,828.462,0.000147603,6.94813e-05,586.443,0.210372,2065.86,-393022
1.87406e-05,94.81,6.74342e-06,827.612,0.00014668,6.92078e-05,585.183,0.2103,2067.91,-392754
1.92404e-05,94.94,6.76522e-06,826.76,0.000145763,6.89345e-05,583.925,0.210228,2069.98,-392485
1.97401e-05,95.07,6.78713e-06,825.907,0.000144854,6.86614e-05,582.669,0.210157,2072.06,-392216
2.02399e-05,95.2,6.80913e-06,825.051,0.000143951,6.83885e-05,581.415,0.210088,2074.15,-391946
2.07396e-05,95.33,6.83123e-06,824.194,0.000143055,6.81157e-05,580.162,0.21002,2076.25,-391676
2.12394e-05,95.46,6.85344e-06,823.334,0.000142165,6.78432e-05,578.911,0.209953,2078.37,-391406
2.17391e-05,95.59,6.87574e-06,822.472,0.000141283,6.75709e-05,577.662,0.209887,2080.5,-391136
2.22389e-05,95.72,6.89815e-06,821.608,0.000140406,6.72988e-05,576.414,0.209822,2082.65,-390865
2.27386e-05,95.85,6.92066e-06,820.742,0.000139537,6.70269e-05,575.168,0.209759,2084.81,-390594
2.32384e-05,95.98,6.94327e-06,819.874,0.000138673,6.67553e-05,573.924,0.209697,2086.98,-390323
2.37381e-05,96.11,6.96599e-06,819.004,0.000137816,6.64838e-05,572.682,0.209636,2089.17,-390052
2.42379e-05,96.24,6.98881e-06,818.131,0.000136966,6.62126e-05,571.441,0.209576,2091.38,-389780
2.47376e-05,96.37,7.01174e-06,817.257,0.000136121,6.59415e-05,570.202,0.209517,2093.6,-389508
2.52374e-05,96.5,7.03478e-06,816.38,0.000135283,6.56708e-05,568.965,0.209459,2095.83,-389236
2.57371e-05,96.63,7.05792e-06,815.502,0.000134452,6.54002e-05,567.729,0.209403,2098.08,-388963
2.62369e-05,96.76,7.08118e-06,814.621,0.000133626,6.51299e-05,566.495,0.209348,2100.34,-388690
2.67366e-05,96.89,7.10454e-06,813.738,0.000132806,6.48597e-05,565.263,0.209294,2102.62,-388417
2.72364e-05,97.02,7.12801e-06,812.853,0.000131993,6.45899e-05,564.032,0.209241,2104.92,-388144
2.77361e-05,97.15,7.15159e-06,811.965,0.000131185,6.43202e-05,562.803,0.209189,2107.23,-387870
2.82359e-05,97.28,7.17528e-06,811.076,0.000130384,6.40508e-05,561.575,0.209139,2109.55,-387596
2.87356e-05,97.41,7.19909e-06,810.184,0.000129588,6.37816e-05,560.349,0.20909,2111.89,-387321
2.92354e-05,97.54,7.22301e-06,809.29,0.000128798,6.35127e-05,559.125,0.209042,2114.25,-387047
2.97351e-05,97.67,7.24704e-06,808.393,0.000128014,6.3244e-05,557.902,0.208995,2116.63,-386772
3.02349e-05,97.8,7.27119e-06,807.495,0.000127236,6.29755e-05,556.681,0.208949,2119.02,-386496
3.07346e-05,97.93,7.29545e-06,806.594,0.000126463,6.27073e-05,555.461,0.208905,2121.43,-386221
3.12344e-05,98.06,7.31983e-06,805.691,0.000125696,6.24394e-05,554.243,0.208862,2123.85,-385945
3.17341e-05,98.19,7.34433e-06,804.786,0.000124935,6.21717e-05,553.027,0.20882,2126.29,-385668
3.22339e-05,98.32,7.36894e-06,803.878,0.000124179,6.19042e-05,551.812,0.208779,2128.75,-385392
3.27336e-05,98.45,7.39368e-06,802.969,0.000123429,6.16371e-05,550.598,0.20874,2131.22,-385115
3.32334e-05,98.58,7.41853e-06,802.056,0.000122685,6.13701e-05,549.386,0.208702,2133.71,-384838
3.37331e-05,98.71,7.44351e-06,801.142,0.000121946,6.11035e-05,548.175,0.208665,2136.22,-384560
3.42329e-05,98.84,7.4686e-06,800.225,0.000121212,6.0837e-05,546.966,0.208629,2138.75,-384282
3.47326e-05,98.97,7.49382e-06,799.306,0.000120483,6.05709e-05,545.759,0.208594,2141.29,-384004
3.52324e-05,99.1,7.51916e-06,798.384,0.00011976,6.0305e-05,544.553,0.208561,2143.85,-383726
3.57321e-05,99.23,7.54463e-06,797.46,0.000119042,6.00394e-05,543.348,0.208529,2146.43,-383447
3.62319e-05,99.36,7.57023e-06,796.534,0.000118329,5.9774e-05,542.145,0.208499,2149.03,-383167
3.67316e-05,99.49,7.59595e-06,795.605,0.000117622,5.9509e-05,540.943,0.208469,2151.65,-382888
3.72314e-05,99.62,7.62179e-06,794.674,0.00011692,5.92442e-05,539.743,0.208441,2154.29,-382608
3.77311e-05,99.75,7.64777e-06,793.741,0.000116222,5.89796e-05,538.544,0.208414,2156.94,-382328
3.82309e-05,99.88,7.67388e-06,792.805,0.00011553,5.87154e-05,537.347,0.208389,2159.61,-382047
3.87306e-05,100.01,7.70011e-06,791.866,0.000114843,5.84514e-05,536.151,0.208365,2162.31,-381766
3.92304e-05,100.14,7.72648e-06,790.926,0.000114161,5.81878e-05,534.956,0.208342,2165.02,-381485
3.97301e-05,100.27,7.75298e-06,789.982,0.000113483,5.79244e-05,533.763,0.20832,2167.75,-381203
4.02299e-05,100.4,7.77961e-06,789.036,0.000112811,5.76612e-05,532.571,0.2083,2170.5,-380921
4.07296e-05,100.53,7.80638e-06,788.088,0.000112143,5.73984e-05,531.38,0.208281,2173.27,-380639
4.12294e-05,100.66,7.83329e-06,787.137,0.000111481,5.71359e-05,530.191,0.208263,2176.06,-380356
4.17291e-05,100.79,7.86033e-06,786.184,0.000110823,5.68736e-05,529.003,0.208247,2178.88,-380073
4.22289e-05,100.92,7.88751e-06,785.228,0.000110169,5.66117e-05,527.817,0.208232,2181.71,-379790
4.27286e-05,101.05,7.91482e-06,784.269,0.000109521,5.635e-05,526.632,0.208218,2184.56,-379506
4.32284e-05,101.18,7.94228e-06,783.308,0.000108877,5.60886e-05,525.448,0.208205,2187.44,-379222
4.37281e-05,101.31,7.96988e-06,782.345,0.000108237,5.58276e-05,524.266,0.208194,2190.33,-378937
4.42279e-05,101.44,7.99762e-06,781.378,0.000107602,5.55668e-05,523.085,0.208185,2193.25,-378652
4.47276e-05,101.57,8.02551e-06,780.41,0.000106972,5.53064e-05,521.905,0.208176,2196.18,-378367
4.52274e-05,101.7,8.05354e-06,779.438,0.000106346,5.50462e-05,520.726,0.208169,2199.15,-378081
4.57271e-05,101.83,8.08171e-06,778.464,0.000105725,5.47864e-05,519.549,0.208164,2202.13,-377795
4.62269e-05,101.96,8.11004e-06,777.487,0.000105108,5.45269e-05,518.373,0.20816,2205.14,-377509
4.67266e-05,102.09,8.13851e-06,776.508,0.000104495,5.42677e-05,517.198,0.208157,2208.16,-377222
4.72264e-05,102.22,8.16713e-06,775.525,0.000103887,5.40088e-05,516.024,0.208155,2211.21,-376935
4.77261e-05,102.35,8.1959e-06,774.541,0.000103283,5.37502e-05,514.852,0.208155,2214.29,-376647
4.82259e-05,102.48,8.22482e-06,773.553,0.000102683,5.34919e-05,513.681,0.208156,2217.38,-376359
4.87256e-05,102.61,8.2539e-06,772.563,0.000102088,5.32339e-05,512.511,0.208159,2220.5,-376071
4.92254e-05,102.74,8.28313e-06,771.569,0.000101496,5.29763e-05,511.342,0.208163,2223.65,-375782
4.97251e-05,102.87,8.31251e-06,770.574,0.000100909,5.2719e-05,510.175,0.208169,2226.81,-375492
5.02249e-05,103,8.34206e-06,769.575,0.000100326,5.2462e-05,509.008,0.208176,2230.01,-375203
5.07246e-05,103.13,8.37176e-06,768.574,9.97471e-05,5.22053e-05,507.843,0.208185,2233.22,-374913
5.12244e-05,103.26,8.40162e-06,767.569,9.91722e-05,5.1949e-05,506.679,0.208195,2236.47,-374622
5.17241e-05,103.39,8.43164e-06,766.562,9.86012e-05,5.1693e-05,505.517,0.208206,2239.73,-374331
5.22239e-05,103.52,8.46182e-06,765.552,9.80341e-05,5.14373e-05,504.355,0.208219,2243.03,-374040
5.27236e-05,103.65,8.49217e-06,764.54,9.7471e-05,5.11819e-05,503.195,0.208233,2246.34,-373748
5.32234e-05,103.78,8.52269e-06,763.524,9.69118e-05,5.09269e-05,502.035,0.208249,2249.69,-373456
5.37231e-05,103.91,8.55336e-06,762.506,9.63564e-05,5.06722e-05,500.877,0.208266,2253.06,-373163
5.42229e-05,104.04,8.58421e-06,761.484,9.58049e-05,5.04179e-05,499.72,0.208285,2256.45,-372870
5.47226e-05,104.17,8.61523e-06,760.46,9.52571e-05,5.01639e-05,498.564,0.208305,2259.88,-372576
5.52224e-05,104.3,8.64642e-06,759.432,9.47131e-05,4.99102e-05,497.409,0.208327,2263.33,-372282
5.57221e-05,104.43,8.67778e-06,758.402,9.41729e-05,4.96569e-05,496.255,0.208351,2266.81,-371988
5.62219e-05,104.56,8.70931e-06,757.368,9.36363e-05,4.94039e-05,495.102,0.208376,2270.31,-371693
5.67216e-05,104.69,8.74102e-06,756.332,9.31034e-05,4.91513e-05,493.95,0.208402,2273.85,-371398
5.72214e-05,104.82,8.77291e-06,755.293,9.25741e-05,4.8899e-05,492.8,0.20843,2277.41,-371102
