x,T,thermo:psi,rho,thermo:mu,thermo:alpha,thermo:as,thermo:Z,Cp,he
2.49875e-07,90.0325,6.06277e-06,856.157,0.000183374,7.861e-05,629.072,0.200969,2007.5,-402594
7.49625e-07,90.13,6.07702e-06,855.564,0.000182477,7.83995e-05,628.071,0.20089,2008.77,-402398
1.24938e-06,90.26,6.09608e-06,854.772,0.000181287,7.81191e-05,626.738,0.200787,2010.47,-402137
1.74913e-06,90.39,6.11521e-06,853.978,0.000180105,7.78387e-05,625.407,0.200685,2012.18,-401875
2.24888e-06,90.52,6.13443e-06,853.182,0.000178933,7.75585e-05,624.078,0.200583,2013.9,-401614
2.74863e-06,90.65,6.15373e-06,852.384,0.000177769,7.72784e-05,622.752,0.200483,2015.63,-401352
3.24838e-06,90.78,6.17312e-06,851.585,0.000176614,7.69984e-05,621.427,0.200384,2017.37,-401089
3.74813e-06,90.91,6.19258e-06,850.784,0.000175467,7.67185e-05,620.105,0.200286,2019.12,-400827
4.24788e-06,91.04,6.21213e-06,849.981,0.000174329,7.64387e-05,618.784,0.200189,2020.88,-400564
4.74763e-06,91.17,6.23177e-06,849.176,0.0001732,7.61591e-05,617.466,0.200093,2022.66,-400302
5.24738e-06,91.3,6.25149e-06,848.369,0.000172079,7.58795e-05,616.149,0.199998,2024.44,-400039
5.74713e-06,91.43,6.2713e-06,847.56,0.000170966,7.56001e-05,614.835,0.199904,2026.24,-399775
6.24688e-06,91.56,6.29119e-06,846.75,0.000169862,7.53208e-05,613.522,0.199811,2028.05,-399512
6.74663e-06,91.69,6.31117e-06,845.937,0.000168766,7.50417e-05,612.212,0.19972,2029.87,-399248
7.24638e-06,91.82,6.33123e-06,845.123,0.000167678,7.47627e-05,610.903,0.199629,2031.71,-398984
7.74613e-06,91.95,6.35139e-06,844.307,0.000166598,7.44838e-05,609.596,0.19954,2033.55,-398720
8.24588e-06,92.08,6.37163e-06,843.489,0.000165527,7.42051e-05,608.292,0.199451,2035.41,-398455
8.74563e-06,92.21,6.39196e-06,842.669,0.000164463,7.39265e-05,606.989,0.199364,2037.28,-398191
9.24538e-06,92.34,6.41239e-06,841.848,0.000163407,7.3648e-05,605.688,0.199277,2039.16,-397926
9.74513e-06,92.47,6.4329e-06,841.024,0.00016236,7.33697e-05,604.389,0.199192,2041.05,-397660
1.02449e-05,92.6,6.4535e-06,840.198,0.00016132,7.30915e-05,603.092,0.199108,2042.95,-397395
1.07446e-05,92.73,6.4742e-06,839.371,0.000160288,7.28135e-05,601.797,0.199025,2044.87,-397129
1.12444e-05,92.86,6.49498e-06,838.541,0.000159263,7.25356e-05,600.504,0.198943,2046.8,-396863
1.17441e-05,92.99,6.51586e-06,837.71,0.000158246,7.22579e-05,599.213,0.198862,2048.75,-396597
1.22439e-05,93.12,6.53684e-06,836.877,0.000157237,7.19804e-05,597.924,0.198782,2050.7,-396331
1.27436e-05,93.25,6.55791e-06,836.041,0.000156235,7.1703e-05,596.637,0.198703,2052.67,-396064
1.32434e-05,93.38,6.57907e-06,835.204,0.000155241,7.14258e-05,595.351,0.198625,2054.65,-395797
1.37431e-05,93.51,6.60033e-06,834.365,0.000154254,7.11488e-05,594.067,0.198549,2056.65,-395530
1.42429e-05,93.64,6.62168e-06,833.523,0.000153275,7.08719e-05,592.785,0.198473,2058.65,-395262
1.47426e-05,93.77,6.64313e-06,832.68,0.000152303,7.05952e-05,591.505,0.198399,2060.67,-394994
1.52424e-05,93.9,6.66468e-06,831.835,0.000151338,7.03186e-05,590.227,0.198325,2062.71,-394726
1.57421e-05,94.03,6.68633e-06,830.987,0.000150381,7.00422e-05,588.95,0.198253,2064.76,-394458
1.62419e-05,94.16,6.70808e-06,830.138,0.00014943,6.9766e-05,587.675,0.198182,2066.82,-394190
1.67416e-05,94.29,6.72993e-06,829.287,0.000148487,6.949e-05,586.402,0.198112,2068.89,-393921
1.72414e-05,94.42,6.75187e-06,828.433,0.000147551,6.92142e-05,585.131,0.198043,2070.98,-393652
1.77411e-05,94.55,6.77392e-06,827.578,0.000146621,6.89386e-05,583.862,0.197975,2073.08,-393382
1.82409e-05,94.68,6.79606e-06,826.72,0.000145699,6.86631e-05,582.594,0.197908,2075.2,-393113
1.87406e-05,94.81,6.81832e-06,825.86,0.000144783,6.83879e-05,581.328,0.197843,2077.33,-392843
1.92404e-05,94.94,6.84067e-06,824.999,0.000143875,6.81128e-05,580.064,0.197778,2079.48,-392573
1.97401e-05,95.07,6.86313e-06,824.135,0.000142973,6.78379e-05,578.802,0.197715,2081.64,-392302
2.02399e-05,95.2,6.8857e-06,823.269,0.000142078,6.75632e-05,577.541,0.197653,2083.81,-392031
2.07396e-05,95.33,6.90836e-06,822.401,0.000141189,6.72887e-05,576.282,0.197591,2086,-391760
2.12394e-05,95.46,6.93114e-06,821.531,0.000140307,6.70145e-05,575.025,0.197531,2088.21,-391489
2.17391e-05,95.59,6.95402e-06,820.658,0.000139432,6.67404e-05,573.769,0.197472,2090.43,-391217
