x,T,thermo:psi,rho,thermo:mu,thermo:alpha,thermo:as,thermo:Z,Cp,he
2.49875e-07,90.0325,5.98608e-06,858.052,0.000186319,7.96176e-05,633.936,0.217962,1998.29,-402423
7.49625e-07,90.13,5.99994e-06,857.467,0.000185413,7.94089e-05,632.94,0.217875,1999.51,-402228
1.24938e-06,90.26,6.01846e-06,856.685,0.00018421,7.91307e-05,631.613,0.217759,2001.13,-401968
1.74913e-06,90.39,6.03706e-06,855.901,0.000183016,7.88526e-05,630.289,0.217645,2002.77,-401708
2.24888e-06,90.52,6.05574e-06,855.116,0.000181832,7.85746e-05,628.966,0.217532,2004.41,-401447
2.74863e-06,90.65,6.0745e-06,854.329,0.000180656,7.82967e-05,627.646,0.21742,2006.06,-401187
3.24838e-06,90.78,6.09333e-06,853.54,0.000179489,7.80189e-05,626.328,0.21731,2007.73,-400926
3.74813e-06,90.91,6.11225e-06,852.75,0.00017833,7.77413e-05,625.012,0.2172,2009.4,-400665
4.24788e-06,91.04,6.13124e-06,851.958,0.00017718,7.74638e-05,623.699,0.217092,2011.09,-400403
4.74763e-06,91.17,6.15031e-06,851.164,0.000176039,7.71864e-05,622.387,0.216984,2012.78,-400142
5.24738e-06,91.3,6.16946e-06,850.368,0.000174906,7.69091e-05,621.077,0.216878,2014.49,-399880
5.74713e-06,91.43,6.1887e-06,849.571,0.000173782,7.66319e-05,619.77,0.216773,2016.2,-399618
6.24688e-06,91.56,6.20801e-06,848.772,0.000172666,7.63549e-05,618.464,0.216669,2017.93,-399356
6.74663e-06,91.69,6.22741e-06,847.971,0.000171558,7.6078e-05,617.161,0.216566,2019.67,-399093
7.24638e-06,91.82,6.24689e-06,847.168,0.000170459,7.58013e-05,615.859,0.216465,2021.42,-398831
7.74613e-06,91.95,6.26645e-06,846.363,0.000169367,7.55247e-05,614.56,0.216364,2023.18,-398568
8.24588e-06,92.08,6.28609e-06,845.557,0.000168284,7.52482e-05,613.262,0.216265,2024.95,-398305
8.74563e-06,92.21,6.30582e-06,844.748,0.000167209,7.49719e-05,611.967,0.216166,2026.73,-398041
9.24538e-06,92.34,6.32564e-06,843.938,0.000166142,7.46957e-05,610.673,0.216069,2028.53,-397778
9.74513e-06,92.47,6.34553e-06,843.126,0.000165083,7.44196e-05,609.382,0.215973,2030.33,-397514
1.02449e-05,92.6,6.36552e-06,842.313,0.000164032,7.41437e-05,608.092,0.215878,2032.15,-397250
1.07446e-05,92.73,6.38559e-06,841.497,0.000162989,7.3868e-05,606.804,0.215785,2033.97,-396986
1.12444e-05,92.86,6.40575e-06,840.679,0.000161953,7.35924e-05,605.519,0.215692,2035.81,-396721
1.17441e-05,92.99,6.42599e-06,839.86,0.000160925,7.3317e-05,604.235,0.215601,2037.66,-396456
1.22439e-05,93.12,6.44632e-06,839.039,0.000159905,7.30418e-05,602.953,0.21551,2039.53,-396191
1.27436e-05,93.25,6.46674e-06,838.216,0.000158892,7.27667e-05,601.673,0.215421,2041.4,-395926
1.32434e-05,93.38,6.48725e-06,837.391,0.000157887,7.24918e-05,600.395,0.215333,2043.29,-395660
1.37431e-05,93.51,6.50785e-06,836.564,0.000156889,7.2217e-05,599.119,0.215247,2045.18,-395395
1.42429e-05,93.64,6.52854e-06,835.735,0.000155899,7.19424e-05,597.845,0.215161,2047.09,-395129
1.47426e-05,93.77,6.54932e-06,834.904,0.000154916,7.1668e-05,596.573,0.215076,2049.02,-394862
1.52424e-05,93.9,6.57019e-06,834.072,0.000153941,7.13938e-05,595.302,0.214993,2050.95,-394596
1.57421e-05,94.03,6.59115e-06,833.237,0.000152973,7.11197e-05,594.033,0.214911,2052.9,-394329
1.62419e-05,94.16,6.61221e-06,832.401,0.000152012,7.08458e-05,592.767,0.21483,2054.86,-394062
1.67416e-05,94.29,6.63336e-06,831.562,0.000151058,7.05721e-05,591.502,0.21475,2056.83,-393795
1.72414e-05,94.42,6.6546e-06,830.722,0.000150111,7.02986e-05,590.239,0.214671,2058.82,-393527
1.77411e-05,94.55,6.67594e-06,829.88,0.000149171,7.00253e-05,588.977,0.214594,2060.81,-393260
1.82409e-05,94.68,6.69737e-06,829.035,0.000148239,6.97522e-05,587.718,0.214517,2062.82,-392992
1.87406e-05,94.81,6.7189e-06,828.189,0.000147313,6.94793e-05,586.46,0.214442,2064.85,-392723
1.92404e-05,94.94,6.74053e-06,827.341,0.000146394,6.92065e-05,585.204,0.214368,2066.89,-392455
1.97401e-05,95.07,6.76225e-06,826.49,0.000145482,6.8934e-05,583.95,0.214295,2068.94,-392186
2.02399e-05,95.2,6.78407e-06,825.638,0.000144576,6.86616e-05,582.698,0.214223,2071,-391917
2.07396e-05,95.33,6.80599e-06,824.784,0.000143678,6.83895e-05,581.447,0.214153,2073.08,-391647
2.12394e-05,95.46,6.82801e-06,823.927,0.000142786,6.81176e-05,580.198,0.214083,2075.17,-391378
2.17391e-05,95.59,6.85013e-06,823.069,0.0001419,6.78458e-05,578.951,0.214015,2077.27,-391108
2.22389e-05,95.72,6.87235e-06,822.208,0.000141022,6.75743e-05,577.706,0.213948,2079.39,-390838
2.27386e-05,95.85,6.89467e-06,821.346,0.000140149,6.7303e-05,576.462,0.213882,2081.52,-390567
2.32384e-05,95.98,6.91709e-06,820.481,0.000139284,6.70319e-05,575.22,0.213818,2083.67,-390297
2.37381e-05,96.11,6.93962e-06,819.615,0.000138424,6.6761e-05,573.98,0.213754,2085.83,-390025
2.42379e-05,96.24,6.96224e-06,818.746,0.000137571,6.64904e-05,572.742,0.213692,2088,-389754
2.47376e-05,96.37,6.98498e-06,817.875,0.000136725,6.62199e-05,571.505,0.213631,2090.19,-389483
2.52374e-05,96.5,7.00781e-06,817.002,0.000135884,6.59497e-05,570.27,0.213571,2092.4,-389211
2.57371e-05,96.63,7.03076e-06,816.127,0.00013505,6.56797e-05,569.036,0.213513,2094.62,-388939
2.62369e-05,96.76,7.05381e-06,815.25,0.000134222,6.541e-05,567.804,0.213455,2096.85,-388666
2.67366e-05,96.89,7.07696e-06,814.37,0.0001334,6.51404e-05,566.574,0.213399,2099.1,-388393
2.72364e-05,97.02,7.10023e-06,813.489,0.000132584,6.48712e-05,565.346,0.213344,2101.36,-388120
2.77361e-05,97.15,7.1236e-06,812.605,0.000131774,6.46021e-05,564.119,0.21329,2103.64,-387847
2.82359e-05,97.28,7.14708e-06,811.72,0.00013097,6.43333e-05,562.894,0.213238,2105.93,-387573
2.87356e-05,97.41,7.17068e-06,810.832,0.000130172,6.40647e-05,561.67,0.213186,2108.24,-387300
2.92354e-05,97.54,7.19438e-06,809.941,0.00012938,6.37963e-05,560.448,0.213136,2110.57,-387025
