x,T,thermo:psi,rho,thermo:mu,thermo:alpha,thermo:as,thermo:Z,Cp,he
2.49875e-07,90.0325,6.10202e-06,855.195,0.000181906,7.81015e-05,626.623,0.192447,2012.24,-402678
7.49625e-07,90.13,6.11648e-06,854.598,0.000181013,7.78902e-05,625.619,0.192373,2013.54,-402481
1.24938e-06,90.26,6.13581e-06,853.8,0.000179828,7.76086e-05,624.283,0.192276,2015.28,-402219
1.74913e-06,90.39,6.15523e-06,853,0.000178653,7.73271e-05,622.949,0.192179,2017.02,-401957
2.24888e-06,90.52,6.17472e-06,852.199,0.000177486,7.70458e-05,621.616,0.192084,2018.78,-401695
2.74863e-06,90.65,6.19431e-06,851.396,0.000176329,7.67645e-05,620.286,0.191989,2020.55,-401432
3.24838e-06,90.78,6.21398e-06,850.591,0.00017518,7.64833e-05,618.958,0.191896,2022.34,-401170
3.74813e-06,90.91,6.23373e-06,849.784,0.000174039,7.62023e-05,617.632,0.191803,2024.13,-400907
4.24788e-06,91.04,6.25357e-06,848.976,0.000172907,7.59214e-05,616.308,0.191712,2025.93,-400643
4.74763e-06,91.17,6.2735e-06,848.165,0.000171783,7.56406e-05,614.986,0.191621,2027.75,-400380
5.24738e-06,91.3,6.29351e-06,847.353,0.000170668,7.53599e-05,613.666,0.191532,2029.58,-400116
5.74713e-06,91.43,6.31362e-06,846.538,0.000169562,7.50793e-05,612.348,0.191444,2031.42,-399852
6.24688e-06,91.56,6.33381e-06,845.722,0.000168463,7.47989e-05,611.032,0.191356,2033.27,-399588
6.74663e-06,91.69,6.35409e-06,844.904,0.000167373,7.45186e-05,609.718,0.19127,2035.14,-399324
7.24638e-06,91.82,6.37447e-06,844.084,0.000166291,7.42384e-05,608.405,0.191185,2037.02,-399059
7.74613e-06,91.95,6.39493e-06,843.262,0.000165217,7.39583e-05,607.095,0.1911,2038.91,-398794
8.24588e-06,92.08,6.41548e-06,842.438,0.000164151,7.36784e-05,605.787,0.191017,2040.81,-398529
8.74563e-06,92.21,6.43613e-06,841.612,0.000163093,7.33987e-05,604.481,0.190935,2042.72,-398263
9.24538e-06,92.34,6.45687e-06,840.785,0.000162043,7.31191e-05,603.176,0.190854,2044.65,-397998
9.74513e-06,92.47,6.4777e-06,839.955,0.000161001,7.28396e-05,601.873,0.190774,2046.59,-397732
1.02449e-05,92.6,6.49863e-06,839.123,0.000159967,7.25602e-05,600.573,0.190695,2048.54,-397465
1.07446e-05,92.73,6.51965e-06,838.29,0.00015894,7.2281e-05,599.274,0.190617,2050.5,-397199
1.12444e-05,92.86,6.54077e-06,837.454,0.000157921,7.2002e-05,597.977,0.19054,2052.48,-396932
1.17441e-05,92.99,6.56198e-06,836.616,0.00015691,7.17231e-05,596.682,0.190464,2054.47,-396665
1.22439e-05,93.12,6.58329e-06,835.777,0.000155906,7.14444e-05,595.389,0.190389,2056.48,-396398
1.27436e-05,93.25,6.6047e-06,834.935,0.00015491,7.11658e-05,594.097,0.190316,2058.5,-396131
1.32434e-05,93.38,6.6262e-06,834.091,0.000153921,7.08874e-05,592.807,0.190243,2060.53,-395863
1.37431e-05,93.51,6.6478e-06,833.246,0.00015294,7.06092e-05,591.519,0.190171,2062.57,-395595
1.42429e-05,93.64,6.6695e-06,832.398,0.000151966,7.03311e-05,590.233,0.190101,2064.63,-395327
1.47426e-05,93.77,6.69131e-06,831.548,0.000150999,7.00532e-05,588.949,0.190031,2066.7,-395058
1.52424e-05,93.9,6.71321e-06,830.696,0.00015004,6.97755e-05,587.667,0.189963,2068.79,-394789
1.57421e-05,94.03,6.73522e-06,829.843,0.000149088,6.9498e-05,586.386,0.189895,2070.89,-394520
1.62419e-05,94.16,6.75732e-06,828.987,0.000148143,6.92206e-05,585.107,0.189829,2073.01,-394251
1.67416e-05,94.29,6.77953e-06,828.128,0.000147205,6.89434e-05,583.83,0.189764,2075.14,-393981
1.72414e-05,94.42,6.80185e-06,827.268,0.000146273,6.86664e-05,582.555,0.189699,2077.28,-393711
1.77411e-05,94.55,6.82426e-06,826.406,0.000145349,6.83895e-05,581.281,0.189636,2079.44,-393441
1.82409e-05,94.68,6.84679e-06,825.541,0.000144432,6.81129e-05,580.009,0.189574,2081.61,-393171
1.87406e-05,94.81,6.86941e-06,824.675,0.000143521,6.78364e-05,578.739,0.189513,2083.8,-392900
1.92404e-05,94.94,6.89215e-06,823.806,0.000142618,6.75601e-05,577.471,0.189453,2086,-392629
1.97401e-05,95.07,6.91499e-06,822.935,0.000141721,6.7284e-05,576.204,0.189394,2088.22,-392358
2.02399e-05,95.2,6.93795e-06,822.062,0.000140831,6.70081e-05,574.939,0.189337,2090.45,-392086
2.07396e-05,95.33,6.96101e-06,821.187,0.000139947,6.67324e-05,573.676,0.18928,2092.7,-391814
