x,T,thermo:psi,rho,thermo:mu,thermo:alpha,thermo:as,thermo:Z,Cp,he
2.49875e-07,90.0325,6.30803e-06,850.227,0.000174591,7.55108e-05,614.195,0.149578,2037.46,-403080
7.49625e-07,90.13,6.32359e-06,849.608,0.000173721,7.5295e-05,613.178,0.149525,2038.92,-402881
1.24938e-06,90.26,6.34441e-06,848.782,0.000172568,7.50074e-05,611.823,0.149455,2040.87,-402616
1.74913e-06,90.39,6.36533e-06,847.954,0.000171423,7.47199e-05,610.47,0.149386,2042.83,-402350
2.24888e-06,90.52,6.38635e-06,847.124,0.000170286,7.44325e-05,609.119,0.149318,2044.81,-402084
2.74863e-06,90.65,6.40747e-06,846.292,0.000169158,7.41451e-05,607.77,0.14925,2046.8,-401818
3.24838e-06,90.78,6.42868e-06,845.457,0.000168039,7.38579e-05,606.423,0.149183,2048.81,-401552
3.74813e-06,90.91,6.45e-06,844.621,0.000166928,7.35708e-05,605.078,0.149118,2050.83,-401286
4.24788e-06,91.04,6.47141e-06,843.782,0.000165826,7.32838e-05,603.735,0.149053,2052.87,-401019
4.74763e-06,91.17,6.49293e-06,842.942,0.000164732,7.29969e-05,602.394,0.148988,2054.92,-400752
5.24738e-06,91.3,6.51455e-06,842.099,0.000163646,7.27101e-05,601.055,0.148925,2056.98,-400485
5.74713e-06,91.43,6.53628e-06,841.255,0.000162568,7.24234e-05,599.717,0.148863,2059.06,-400217
6.24688e-06,91.56,6.5581e-06,840.408,0.000161499,7.21369e-05,598.381,0.148801,2061.15,-399949
6.74663e-06,91.69,6.58004e-06,839.559,0.000160437,7.18504e-05,597.047,0.14874,2063.26,-399681
7.24638e-06,91.82,6.60207e-06,838.708,0.000159384,7.15641e-05,595.715,0.148681,2065.38,-399413
7.74613e-06,91.95,6.62422e-06,837.855,0.000158338,7.12779e-05,594.385,0.148622,2067.52,-399144
8.24588e-06,92.08,6.64647e-06,836.999,0.000157301,7.09919e-05,593.057,0.148563,2069.67,-398875
8.74563e-06,92.21,6.66883e-06,836.142,0.000156271,7.07059e-05,591.73,0.148506,2071.84,-398606
9.24538e-06,92.34,6.6913e-06,835.282,0.000155249,7.04201e-05,590.405,0.14845,2074.02,-398337
9.74513e-06,92.47,6.71387e-06,834.42,0.000154235,7.01345e-05,589.082,0.148394,2076.22,-398067
1.02449e-05,92.6,6.73656e-06,833.556,0.000153229,6.98489e-05,587.76,0.148339,2078.44,-397797
1.07446e-05,92.73,6.75936e-06,832.689,0.00015223,6.95635e-05,586.44,0.148286,2080.67,-397527
1.12444e-05,92.86,6.78227e-06,831.821,0.000151239,6.92783e-05,585.122,0.148233,2082.92,-397256
1.17441e-05,92.99,6.8053e-06,830.95,0.000150255,6.89932e-05,583.806,0.148181,2085.18,-396985
1.22439e-05,93.12,6.82844e-06,830.077,0.000149278,6.87082e-05,582.491,0.148129,2087.46,-396714
