x,T,thermo:psi,rho,thermo:mu,thermo:alpha,thermo:as,thermo:Z,Cp,he
2.49875e-07,90.0325,6.20293e-06,852.744,0.000178242,7.68165e-05,620.447,0.171069,2024.53,-402882
7.49625e-07,90.13,6.21792e-06,852.136,0.000177361,7.6603e-05,619.437,0.171005,2025.9,-402685
1.24938e-06,90.26,6.23798e-06,851.325,0.000176192,7.63184e-05,618.092,0.170922,2027.74,-402421
1.74913e-06,90.39,6.25812e-06,850.511,0.000175031,7.6034e-05,616.749,0.170839,2029.59,-402157
2.24888e-06,90.52,6.27835e-06,849.696,0.00017388,7.57497e-05,615.408,0.170757,2031.45,-401893
2.74863e-06,90.65,6.29867e-06,848.879,0.000172737,7.54654e-05,614.069,0.170677,2033.33,-401629
3.24838e-06,90.78,6.31909e-06,848.06,0.000171603,7.51813e-05,612.732,0.170597,2035.22,-401365
3.74813e-06,90.91,6.3396e-06,847.239,0.000170477,7.48973e-05,611.397,0.170518,2037.12,-401100
4.24788e-06,91.04,6.3602e-06,846.415,0.00016936,7.46134e-05,610.063,0.17044,2039.04,-400835
4.74763e-06,91.17,6.38089e-06,845.59,0.000168251,7.43296e-05,608.732,0.170363,2040.97,-400570
5.24738e-06,91.3,6.40168e-06,844.763,0.000167151,7.4046e-05,607.403,0.170287,2042.91,-400304
5.74713e-06,91.43,6.42257e-06,843.934,0.000166059,7.37624e-05,606.075,0.170212,2044.86,-400039
6.24688e-06,91.56,6.44355e-06,843.103,0.000164975,7.3479e-05,604.75,0.170138,2046.83,-399773
6.74663e-06,91.69,6.46463e-06,842.27,0.000163899,7.31957e-05,603.426,0.170065,2048.81,-399507
7.24638e-06,91.82,6.4858e-06,841.435,0.000162831,7.29125e-05,602.104,0.169993,2050.8,-399240
7.74613e-06,91.95,6.50708e-06,840.597,0.000161772,7.26295e-05,600.784,0.169921,2052.81,-398973
8.24588e-06,92.08,6.52845e-06,839.758,0.00016072,7.23466e-05,599.466,0.169851,2054.83,-398706
8.74563e-06,92.21,6.54992e-06,838.917,0.000159676,7.20638e-05,598.15,0.169782,2056.87,-398439
9.24538e-06,92.34,6.57149e-06,838.073,0.00015864,7.17811e-05,596.835,0.169713,2058.92,-398172
9.74513e-06,92.47,6.59317e-06,837.228,0.000157612,7.14986e-05,595.523,0.169646,2060.98,-397904
1.02449e-05,92.6,6.61494e-06,836.38,0.000156592,7.12163e-05,594.212,0.169579,2063.06,-397636
