x,T,thermo:psi,rho,thermo:mu,thermo:alpha,thermo:as,thermo:Z,Cp,he
2.49875e-07,90.0325,6.08232e-06,855.677,0.00018264,7.83561e-05,627.849,0.196711,2009.86,-402636
7.49625e-07,90.13,6.09667e-06,855.082,0.000181745,7.81453e-05,626.847,0.196634,2011.14,-402440
1.24938e-06,90.26,6.11587e-06,854.287,0.000180557,7.78643e-05,625.512,0.196534,2012.86,-402178
1.74913e-06,90.39,6.13514e-06,853.49,0.000179379,7.75833e-05,624.18,0.196434,2014.59,-401916
2.24888e-06,90.52,6.1545e-06,852.692,0.000178209,7.73025e-05,622.849,0.196336,2016.33,-401654
2.74863e-06,90.65,6.17394e-06,851.891,0.000177049,7.70219e-05,621.521,0.196238,2018.08,-401392
3.24838e-06,90.78,6.19346e-06,851.089,0.000175896,7.67413e-05,620.194,0.196142,2019.84,-401130
3.74813e-06,90.91,6.21307e-06,850.285,0.000174753,7.64608e-05,618.87,0.196047,2021.61,-400867
4.24788e-06,91.04,6.23277e-06,849.479,0.000173618,7.61805e-05,617.548,0.195952,2023.4,-400604
4.74763e-06,91.17,6.25255e-06,848.672,0.000172491,7.59002e-05,616.227,0.195859,2025.19,-400341
5.24738e-06,91.3,6.27242e-06,847.862,0.000171373,7.56201e-05,614.909,0.195767,2027,-400078
5.74713e-06,91.43,6.29237e-06,847.051,0.000170264,7.53401e-05,613.593,0.195676,2028.82,-399814
6.24688e-06,91.56,6.31241e-06,846.237,0.000169162,7.50603e-05,612.278,0.195586,2030.65,-399550
6.74663e-06,91.69,6.33254e-06,845.422,0.000168069,7.47806e-05,610.966,0.195497,2032.49,-399286
7.24638e-06,91.82,6.35276e-06,844.605,0.000166984,7.4501e-05,609.656,0.195409,2034.35,-399022
7.74613e-06,91.95,6.37307e-06,843.786,0.000165907,7.42215e-05,608.348,0.195322,2036.21,-398757
8.24588e-06,92.08,6.39347e-06,842.965,0.000164839,7.39422e-05,607.041,0.195236,2038.09,-398492
8.74563e-06,92.21,6.41395e-06,842.142,0.000163778,7.3663e-05,605.737,0.195152,2039.98,-398227
9.24538e-06,92.34,6.43453e-06,841.318,0.000162725,7.3384e-05,604.434,0.195068,2041.89,-397962
9.74513e-06,92.47,6.4552e-06,840.491,0.00016168,7.31051e-05,603.133,0.194985,2043.8,-397696
1.02449e-05,92.6,6.47597e-06,839.662,0.000160643,7.28263e-05,601.834,0.194904,2045.73,-397430
