x,T,thermo:psi,rho,thermo:mu,thermo:alpha,thermo:as,thermo:Z,Cp,he
2.49875e-07,90.0325,6.22361e-06,852.246,0.000177511,7.6557e-05,619.204,0.16678,2027.06,-402922
7.49625e-07,90.13,6.23871e-06,851.636,0.000176632,7.63431e-05,618.192,0.166718,2028.45,-402724
1.24938e-06,90.26,6.25891e-06,850.822,0.000175466,7.60579e-05,616.845,0.166638,2030.31,-402461
1.74913e-06,90.39,6.2792e-06,850.006,0.000174309,7.57729e-05,615.5,0.166558,2032.18,-402197
2.24888e-06,90.52,6.29959e-06,849.187,0.00017316,7.5488e-05,614.157,0.166479,2034.07,-401932
2.74863e-06,90.65,6.32007e-06,848.367,0.00017202,7.52031e-05,612.816,0.166401,2035.97,-401668
3.24838e-06,90.78,6.34064e-06,847.545,0.000170889,7.49184e-05,611.477,0.166324,2037.88,-401403
3.74813e-06,90.91,6.3613e-06,846.721,0.000169766,7.46338e-05,610.14,0.166247,2039.8,-401138
4.24788e-06,91.04,6.38206e-06,845.895,0.000168652,7.43493e-05,608.804,0.166172,2041.74,-400873
4.74763e-06,91.17,6.40292e-06,845.067,0.000167546,7.40649e-05,607.471,0.166098,2043.69,-400607
5.24738e-06,91.3,6.42387e-06,844.236,0.000166449,7.37806e-05,606.14,0.166024,2045.66,-400341
5.74713e-06,91.43,6.44492e-06,843.404,0.00016536,7.34964e-05,604.811,0.165952,2047.64,-400075
6.24688e-06,91.56,6.46607e-06,842.57,0.000164279,7.32124e-05,603.483,0.16588,2049.63,-399809
6.74663e-06,91.69,6.48731e-06,841.734,0.000163206,7.29285e-05,602.157,0.16581,2051.63,-399542
7.24638e-06,91.82,6.50865e-06,840.895,0.000162141,7.26447e-05,600.833,0.16574,2053.65,-399275
7.74613e-06,91.95,6.53009e-06,840.055,0.000161084,7.2361e-05,599.511,0.165671,2055.68,-399008
8.24588e-06,92.08,6.55164e-06,839.213,0.000160035,7.20775e-05,598.191,0.165603,2057.73,-398741
8.74563e-06,92.21,6.57328e-06,838.368,0.000158994,7.17941e-05,596.873,0.165537,2059.79,-398473
9.24538e-06,92.34,6.59503e-06,837.522,0.000157961,7.15108e-05,595.557,0.165471,2061.87,-398205
9.74513e-06,92.47,6.61688e-06,836.673,0.000156936,7.12277e-05,594.242,0.165406,2063.96,-397937
1.02449e-05,92.6,6.63883e-06,835.822,0.000155919,7.09447e-05,592.929,0.165342,2066.06,-397669
1.07446e-05,92.73,6.66089e-06,834.97,0.000154909,7.06619e-05,591.618,0.165278,2068.18,-397400
1.12444e-05,92.86,6.68305e-06,834.115,0.000153906,7.03792e-05,590.309,0.165216,2070.31,-397131
1.17441e-05,92.99,6.70531e-06,833.257,0.000152911,7.00966e-05,589.001,0.165155,2072.46,-396862
1.22439e-05,93.12,6.72769e-06,832.398,0.000151924,6.98142e-05,587.695,0.165095,2074.63,-396592
1.27436e-05,93.25,6.75017e-06,831.536,0.000150944,6.9532e-05,586.391,0.165035,2076.81,-396322
1.32434e-05,93.38,6.77276e-06,830.673,0.000149972,6.92499e-05,585.089,0.164977,2079,-396052
1.37431e-05,93.51,6.79546e-06,829.807,0.000149007,6.8968e-05,583.789,0.164919,2081.21,-395782
1.42429e-05,93.64,6.81827e-06,828.939,0.000148049,6.86862e-05,582.49,0.164863,2083.43,-395511
1.47426e-05,93.77,6.84119e-06,828.069,0.000147098,6.84046e-05,581.193,0.164807,2085.67,-395240
1.52424e-05,93.9,6.86422e-06,827.196,0.000146154,6.81232e-05,579.897,0.164753,2087.93,-394969
1.57421e-05,94.03,6.88736e-06,826.322,0.000145218,6.78419e-05,578.603,0.164699,2090.2,-394697
1.62419e-05,94.16,6.91062e-06,825.445,0.000144288,6.75608e-05,577.311,0.164646,2092.49,-394425
1.67416e-05,94.29,6.93399e-06,824.566,0.000143366,6.72799e-05,576.021,0.164595,2094.8,-394153
1.72414e-05,94.42,6.95747e-06,823.684,0.00014245,6.69991e-05,574.732,0.164544,2097.12,-393881
1.77411e-05,94.55,6.98107e-06,822.801,0.000141542,6.67185e-05,573.445,0.164494,2099.46,-393608
1.82409e-05,94.68,7.00479e-06,821.915,0.00014064,6.64381e-05,572.16,0.164445,2101.82,-393335
1.87406e-05,94.81,7.02863e-06,821.027,0.000139744,6.61579e-05,570.876,0.164398,2104.19,-393061
1.92404e-05,94.94,7.05258e-06,820.136,0.000138856,6.58778e-05,569.594,0.164351,2106.58,-392788
1.97401e-05,95.07,7.07666e-06,819.243,0.000137974,6.5598e-05,568.313,0.164305,2108.99,-392514
2.02399e-05,95.2,7.10085e-06,818.348,0.000137099,6.53183e-05,567.034,0.16426,2111.41,-392239
2.07396e-05,95.33,7.12517e-06,817.45,0.000136231,6.50388e-05,565.756,0.164216,2113.85,-391965
2.12394e-05,95.46,7.14961e-06,816.551,0.000135368,6.47595e-05,564.48,0.164173,2116.31,-391690
2.17391e-05,95.59,7.17417e-06,815.648,0.000134513,6.44804e-05,563.206,0.164131,2118.79,-391415
2.22389e-05,95.72,7.19885e-06,814.744,0.000133663,6.42015e-05,561.933,0.16409,2121.29,-391139
2.27386e-05,95.85,7.22366e-06,813.836,0.00013282,6.39228e-05,560.661,0.164051,2123.81,-390863
2.32384e-05,95.98,7.2486e-06,812.927,0.000131984,6.36443e-05,559.391,0.164012,2126.34,-390587
2.37381e-05,96.11,7.27367e-06,812.015,0.000131153,6.3366e-05,558.123,0.163974,2128.89,-390310
2.42379e-05,96.24,7.29886e-06,811.1,0.000130329,6.30879e-05,556.856,0.163937,2131.46,-390033
2.47376e-05,96.37,7.32419e-06,810.184,0.00012951,6.281e-05,555.591,0.163901,2134.05,-389756
2.52374e-05,96.5,7.34964e-06,809.264,0.000128698,6.25323e-05,554.327,0.163866,2136.66,-389478
2.57371e-05,96.63,7.37523e-06,808.343,0.000127892,6.22549e-05,553.064,0.163832,2139.29,-389200
2.62369e-05,96.76,7.40095e-06,807.418,0.000127092,6.19776e-05,551.803,0.163799,2141.94,-388922
2.67366e-05,96.89,7.4268e-06,806.492,0.000126298,6.17006e-05,550.543,0.163768,2144.61,-388644
2.72364e-05,97.02,7.45279e-06,805.562,0.00012551,6.14237e-05,549.285,0.163737,2147.31,-388365
2.77361e-05,97.15,7.47891e-06,804.63,0.000124727,6.11471e-05,548.028,0.163707,2150.02,-388085
2.82359e-05,97.28,7.50517e-06,803.696,0.000123951,6.08707e-05,546.773,0.163678,2152.75,-387806
2.87356e-05,97.41,7.53157e-06,802.759,0.00012318,6.05946e-05,545.519,0.163651,2155.5,-387526
2.92354e-05,97.54,7.55811e-06,801.819,0.000122415,6.03186e-05,544.266,0.163624,2158.28,-387245
2.97351e-05,97.67,7.58479e-06,800.877,0.000121655,6.00429e-05,543.015,0.163599,2161.07,-386964
3.02349e-05,97.8,7.61161e-06,799.932,0.000120901,5.97674e-05,541.765,0.163574,2163.89,-386683
3.07346e-05,97.93,7.63858e-06,798.985,0.000120152,5.94921e-05,540.516,0.163551,2166.72,-386402
3.12344e-05,98.06,7.66569e-06,798.034,0.000119409,5.92171e-05,539.269,0.163528,2169.59,-386120
3.17341e-05,98.19,7.69294e-06,797.082,0.000118672,5.89423e-05,538.023,0.163507,2172.47,-385838
3.22339e-05,98.32,7.72035e-06,796.126,0.00011794,5.86678e-05,536.779,0.163487,2175.38,-385555
3.27336e-05,98.45,7.7479e-06,795.168,0.000117213,5.83934e-05,535.535,0.163468,2178.3,-385272
3.32334e-05,98.58,7.7756e-06,794.207,0.000116492,5.81194e-05,534.293,0.16345,2181.25,-384989
3.37331e-05,98.71,7.80345e-06,793.244,0.000115776,5.78455e-05,533.052,0.163433,2184.23,-384705
3.42329e-05,98.84,7.83145e-06,792.277,0.000115065,5.75719e-05,531.813,0.163417,2187.22,-384421
3.47326e-05,98.97,7.85961e-06,791.308,0.000114359,5.72986e-05,530.575,0.163402,2190.25,-384136
3.52324e-05,99.1,7.88792e-06,790.336,0.000113659,5.70255e-05,529.338,0.163388,2193.29,-383851
3.57321e-05,99.23,7.91638e-06,789.362,0.000112963,5.67526e-05,528.102,0.163376,2196.37,-383566
3.62319e-05,99.36,7.94501e-06,788.384,0.000112273,5.648e-05,526.867,0.163364,2199.46,-383280
3.67316e-05,99.49,7.97379e-06,787.404,0.000111587,5.62077e-05,525.634,0.163354,2202.58,-382994
3.72314e-05,99.62,8.00273e-06,786.421,0.000110907,5.59356e-05,524.401,0.163345,2205.73,-382708
3.77311e-05,99.75,8.03184e-06,785.434,0.000110231,5.56638e-05,523.17,0.163337,2208.9,-382421
3.82309e-05,99.88,8.06111e-06,784.446,0.000109561,5.53922e-05,521.94,0.16333,2212.1,-382133
3.87306e-05,100.01,8.09054e-06,783.454,0.000108895,5.51209e-05,520.712,0.163324,2215.32,-381846
3.92304e-05,100.14,8.12014e-06,782.459,0.000108234,5.48498e-05,519.484,0.163319,2218.57,-381557
3.97301e-05,100.27,8.14991e-06,781.461,0.000107578,5.4579e-05,518.258,0.163316,2221.85,-381269
4.02299e-05,100.4,8.17984e-06,780.461,0.000106926,5.43085e-05,517.032,0.163313,2225.15,-380980
4.07296e-05,100.53,8.20995e-06,779.457,0.000106279,5.40382e-05,515.808,0.163312,2228.49,-380690
4.12294e-05,100.66,8.24023e-06,778.45,0.000105637,5.37682e-05,514.585,0.163312,2231.84,-380400
4.17291e-05,100.79,8.27068e-06,777.441,0.000104999,5.34985e-05,513.363,0.163313,2235.23,-380110
4.22289e-05,100.92,8.30131e-06,776.428,0.000104366,5.3229e-05,512.142,0.163316,2238.64,-379819
4.27286e-05,101.05,8.33212e-06,775.412,0.000103737,5.29599e-05,510.922,0.163319,2242.09,-379528
4.32284e-05,101.18,8.36311e-06,774.393,0.000103113,5.2691e-05,509.703,0.163324,2245.56,-379236
4.37281e-05,101.31,8.39428e-06,773.371,0.000102494,5.24223e-05,508.485,0.16333,2249.07,-378944
4.42279e-05,101.44,8.42563e-06,772.346,0.000101878,5.2154e-05,507.268,0.163337,2252.6,-378651
4.47276e-05,101.57,8.45716e-06,771.318,0.000101267,5.18859e-05,506.052,0.163346,2256.17,-378358
4.52274e-05,101.7,8.48888e-06,770.287,0.00010066,5.16181e-05,504.837,0.163355,2259.76,-378065
4.57271e-05,101.83,8.52079e-06,769.252,0.000100058,5.13506e-05,503.623,0.163366,2263.39,-377771
4.62269e-05,101.96,8.55288e-06,768.214,9.94598e-05,5.10833e-05,502.41,0.163378,2267.05,-377476
4.67266e-05,102.09,8.58517e-06,767.173,9.88658e-05,5.08164e-05,501.198,0.163392,2270.74,-377181
4.72264e-05,102.22,8.61765e-06,766.129,9.82759e-05,5.05497e-05,499.987,0.163406,2274.46,-376886
4.77261e-05,102.35,8.65033e-06,765.081,9.76901e-05,5.02834e-05,498.777,0.163422,2278.21,-376590
4.82259e-05,102.48,8.6832e-06,764.03,9.71084e-05,5.00173e-05,497.568,0.163439,2282,-376294
4.87256e-05,102.61,8.71628e-06,762.976,9.65308e-05,4.97515e-05,496.359,0.163458,2285.82,-375997
4.92254e-05,102.74,8.74955e-06,761.918,9.59571e-05,4.9486e-05,495.152,0.163478,2289.68,-375699
