x,T,thermo:psi,rho,thermo:mu,thermo:alpha,thermo:as,thermo:Z,Cp,he
2.49875e-07,90.0325,6.16209e-06,853.732,0.000179706,7.73329e-05,622.927,0.179634,2019.54,-402801
7.49625e-07,90.13,6.17686e-06,853.129,0.00017882,7.71203e-05,621.92,0.179566,2020.88,-402604
1.24938e-06,90.26,6.19661e-06,852.323,0.000177645,7.6837e-05,620.578,0.179477,2022.68,-402341
1.74913e-06,90.39,6.21646e-06,851.515,0.000176479,7.65537e-05,619.239,0.179388,2024.49,-402078
2.24888e-06,90.52,6.23639e-06,850.705,0.000175321,7.62706e-05,617.901,0.179301,2026.31,-401815
2.74863e-06,90.65,6.25641e-06,849.894,0.000174172,7.59876e-05,616.566,0.179215,2028.14,-401551
3.24838e-06,90.78,6.27652e-06,849.08,0.000173032,7.57046e-05,615.232,0.17913,2029.98,-401288
3.74813e-06,90.91,6.29672e-06,848.265,0.0001719,7.54218e-05,613.901,0.179046,2031.84,-401024
4.24788e-06,91.04,6.31701e-06,847.448,0.000170777,7.51391e-05,612.571,0.178962,2033.71,-400759
4.74763e-06,91.17,6.3374e-06,846.629,0.000169663,7.48566e-05,611.244,0.17888,2035.59,-400495
5.24738e-06,91.3,6.35787e-06,845.808,0.000168556,7.45741e-05,609.918,0.178799,2037.49,-400230
5.74713e-06,91.43,6.37844e-06,844.985,0.000167458,7.42918e-05,608.594,0.178719,2039.4,-399965
6.24688e-06,91.56,6.3991e-06,844.16,0.000166369,7.40096e-05,607.272,0.178639,2041.32,-399700
6.74663e-06,91.69,6.41985e-06,843.333,0.000165287,7.37275e-05,605.953,0.178561,2043.25,-399434
7.24638e-06,91.82,6.4407e-06,842.504,0.000164214,7.34455e-05,604.635,0.178484,2045.2,-399169
7.74613e-06,91.95,6.46164e-06,841.673,0.000163148,7.31637e-05,603.319,0.178407,2047.16,-398903
8.24588e-06,92.08,6.48268e-06,840.84,0.000162091,7.2882e-05,602.005,0.178332,2049.13,-398636
8.74563e-06,92.21,6.50381e-06,840.005,0.000161042,7.26004e-05,600.692,0.178257,2051.11,-398370
9.24538e-06,92.34,6.52504e-06,839.168,0.00016,7.2319e-05,599.382,0.178184,2053.11,-398103
9.74513e-06,92.47,6.54637e-06,838.329,0.000158966,7.20377e-05,598.074,0.178112,2055.12,-397836
1.02449e-05,92.6,6.5678e-06,837.487,0.00015794,7.17566e-05,596.767,0.17804,2057.15,-397569
1.07446e-05,92.73,6.58933e-06,836.644,0.000156922,7.14756e-05,595.462,0.17797,2059.19,-397301
1.12444e-05,92.86,6.61096e-06,835.799,0.000155912,7.11948e-05,594.159,0.1779,2061.24,-397033
1.17441e-05,92.99,6.63269e-06,834.952,0.000154909,7.09141e-05,592.858,0.177832,2063.31,-396765
1.22439e-05,93.12,6.65452e-06,834.102,0.000153913,7.06336e-05,591.559,0.177764,2065.39,-396497
1.27436e-05,93.25,6.67645e-06,833.251,0.000152925,7.03532e-05,590.261,0.177698,2067.49,-396228
1.32434e-05,93.38,6.69849e-06,832.397,0.000151945,7.0073e-05,588.965,0.177633,2069.6,-395959
1.37431e-05,93.51,6.72062e-06,831.542,0.000150972,6.97929e-05,587.671,0.177568,2071.73,-395690
1.42429e-05,93.64,6.74287e-06,830.684,0.000150006,6.9513e-05,586.379,0.177505,2073.87,-395421
1.47426e-05,93.77,6.76521e-06,829.825,0.000149047,6.92333e-05,585.089,0.177442,2076.02,-395151
1.52424e-05,93.9,6.78767e-06,828.963,0.000148095,6.89537e-05,583.8,0.177381,2078.19,-394881
1.57421e-05,94.03,6.81023e-06,828.098,0.000147151,6.86743e-05,582.513,0.17732,2080.37,-394611
1.62419e-05,94.16,6.8329e-06,827.232,0.000146214,6.83951e-05,581.227,0.177261,2082.57,-394340
1.67416e-05,94.29,6.85567e-06,826.363,0.000145283,6.81161e-05,579.944,0.177203,2084.79,-394069
1.72414e-05,94.42,6.87856e-06,825.493,0.00014436,6.78372e-05,578.662,0.177145,2087.02,-393798
1.77411e-05,94.55,6.90155e-06,824.62,0.000143443,6.75585e-05,577.382,0.177089,2089.27,-393527
1.82409e-05,94.68,6.92466e-06,823.745,0.000142534,6.728e-05,576.103,0.177034,2091.53,-393255
1.87406e-05,94.81,6.94788e-06,822.868,0.000141631,6.70017e-05,574.826,0.176979,2093.81,-392983
1.92404e-05,94.94,6.97121e-06,821.988,0.000140735,6.67236e-05,573.551,0.176926,2096.1,-392710
1.97401e-05,95.07,6.99466e-06,821.107,0.000139846,6.64457e-05,572.277,0.176874,2098.41,-392438
2.02399e-05,95.2,7.01822e-06,820.223,0.000138963,6.61679e-05,571.005,0.176823,2100.74,-392165
2.07396e-05,95.33,7.04189e-06,819.337,0.000138087,6.58904e-05,569.735,0.176773,2103.08,-391892
2.12394e-05,95.46,7.06568e-06,818.448,0.000137218,6.5613e-05,568.466,0.176724,2105.44,-391618
2.17391e-05,95.59,7.08958e-06,817.558,0.000136355,6.53359e-05,567.199,0.176675,2107.81,-391344
2.22389e-05,95.72,7.11361e-06,816.665,0.000135498,6.50589e-05,565.933,0.176628,2110.21,-391070
2.27386e-05,95.85,7.13775e-06,815.769,0.000134648,6.47821e-05,564.669,0.176583,2112.62,-390795
2.32384e-05,95.98,7.16201e-06,814.872,0.000133804,6.45056e-05,563.407,0.176538,2115.05,-390521
2.37381e-05,96.11,7.1864e-06,813.972,0.000132966,6.42292e-05,562.146,0.176494,2117.49,-390246
2.42379e-05,96.24,7.2109e-06,813.069,0.000132135,6.39531e-05,560.887,0.176451,2119.95,-389970
2.47376e-05,96.37,7.23553e-06,812.165,0.000131309,6.36772e-05,559.629,0.176409,2122.43,-389694
2.52374e-05,96.5,7.26028e-06,811.257,0.00013049,6.34014e-05,558.373,0.176369,2124.93,-389418
2.57371e-05,96.63,7.28515e-06,810.348,0.000129677,6.31259e-05,557.118,0.176329,2127.45,-389142
2.62369e-05,96.76,7.31015e-06,809.436,0.00012887,6.28507e-05,555.865,0.17629,2129.99,-388865
2.67366e-05,96.89,7.33528e-06,808.522,0.000128069,6.25756e-05,554.613,0.176253,2132.54,-388588
2.72364e-05,97.02,7.36053e-06,807.605,0.000127274,6.23008e-05,553.363,0.176217,2135.11,-388311
2.77361e-05,97.15,7.38591e-06,806.686,0.000126485,6.20261e-05,552.114,0.176181,2137.7,-388033
2.82359e-05,97.28,7.41143e-06,805.765,0.000125702,6.17517e-05,550.867,0.176147,2140.31,-387755
2.87356e-05,97.41,7.43707e-06,804.84,0.000124924,6.14776e-05,549.621,0.176114,2142.94,-387476
2.92354e-05,97.54,7.46284e-06,803.914,0.000124152,6.12036e-05,548.377,0.176082,2145.59,-387198
2.97351e-05,97.67,7.48875e-06,802.985,0.000123386,6.09299e-05,547.134,0.176051,2148.26,-386919
3.02349e-05,97.8,7.51479e-06,802.053,0.000122626,6.06565e-05,545.892,0.176021,2150.95,-386639
3.07346e-05,97.93,7.54096e-06,801.119,0.000121871,6.03832e-05,544.652,0.175992,2153.66,-386359
3.12344e-05,98.06,7.56727e-06,800.183,0.000121121,6.01103e-05,543.413,0.175965,2156.39,-386079
3.17341e-05,98.19,7.59372e-06,799.244,0.000120377,5.98375e-05,542.176,0.175938,2159.14,-385799
3.22339e-05,98.32,7.62031e-06,798.302,0.000119639,5.9565e-05,540.94,0.175913,2161.92,-385518
3.27336e-05,98.45,7.64704e-06,797.358,0.000118906,5.92927e-05,539.705,0.175889,2164.71,-385237
3.32334e-05,98.58,7.6739e-06,796.411,0.000118178,5.90207e-05,538.472,0.175866,2167.53,-384955
3.37331e-05,98.71,7.70091e-06,795.461,0.000117456,5.8749e-05,537.24,0.175844,2170.36,-384673
3.42329e-05,98.84,7.72806e-06,794.509,0.000116739,5.84774e-05,536.009,0.175823,2173.22,-384391
3.47326e-05,98.97,7.75536e-06,793.555,0.000116027,5.82062e-05,534.78,0.175803,2176.09,-384108
3.52324e-05,99.1,7.7828e-06,792.597,0.000115321,5.79351e-05,533.552,0.175785,2179,-383825
3.57321e-05,99.23,7.81038e-06,791.637,0.000114619,5.76644e-05,532.325,0.175767,2181.92,-383541
3.62319e-05,99.36,7.83812e-06,790.675,0.000113923,5.73938e-05,531.1,0.175751,2184.87,-383258
3.67316e-05,99.49,7.866e-06,789.709,0.000113231,5.71236e-05,529.876,0.175736,2187.83,-382973
3.72314e-05,99.62,7.89404e-06,788.741,0.000112545,5.68536e-05,528.653,0.175722,2190.83,-382689
3.77311e-05,99.75,7.92222e-06,787.77,0.000111864,5.65839e-05,527.431,0.175709,2193.84,-382404
3.82309e-05,99.88,7.95056e-06,786.797,0.000111187,5.63144e-05,526.211,0.175698,2196.88,-382118
3.87306e-05,100.01,7.97906e-06,785.82,0.000110516,5.60452e-05,524.992,0.175687,2199.95,-381833
3.92304e-05,100.14,8.00771e-06,784.841,0.000109849,5.57763e-05,523.774,0.175678,2203.03,-381546
3.97301e-05,100.27,8.03651e-06,783.859,0.000109187,5.55076e-05,522.557,0.17567,2206.15,-381260
4.02299e-05,100.4,8.06547e-06,782.874,0.00010853,5.52393e-05,521.341,0.175663,2209.28,-380973
4.07296e-05,100.53,8.0946e-06,781.887,0.000107878,5.49712e-05,520.127,0.175658,2212.45,-380685
4.12294e-05,100.66,8.12388e-06,780.896,0.00010723,5.47033e-05,518.914,0.175654,2215.63,-380398
4.17291e-05,100.79,8.15333e-06,779.903,0.000106587,5.44358e-05,517.702,0.175651,2218.85,-380109
4.22289e-05,100.92,8.18294e-06,778.906,0.000105948,5.41685e-05,516.491,0.175649,2222.09,-379821
4.27286e-05,101.05,8.21272e-06,777.907,0.000105315,5.39015e-05,515.281,0.175648,2225.35,-379532
4.32284e-05,101.18,8.24266e-06,776.905,0.000104685,5.36348e-05,514.073,0.175648,2228.65,-379242
4.37281e-05,101.31,8.27277e-06,775.9,0.00010406,5.33683e-05,512.865,0.17565,2231.97,-378952
4.42279e-05,101.44,8.30305e-06,774.892,0.00010344,5.31022e-05,511.659,0.175653,2235.31,-378662
4.47276e-05,101.57,8.33351e-06,773.88,0.000102823,5.28363e-05,510.453,0.175658,2238.69,-378371
4.52274e-05,101.7,8.36414e-06,772.866,0.000102212,5.25708e-05,509.249,0.175663,2242.09,-378080
4.57271e-05,101.83,8.39494e-06,771.849,0.000101604,5.23055e-05,508.046,0.17567,2245.52,-377788
4.62269e-05,101.96,8.42592e-06,770.829,0.000101001,5.20405e-05,506.844,0.175679,2248.98,-377496
4.67266e-05,102.09,8.45707e-06,769.806,0.000100402,5.17759e-05,505.643,0.175688,2252.47,-377203
4.72264e-05,102.22,8.48841e-06,768.78,9.98073e-05,5.15115e-05,504.443,0.175699,2255.99,-376910
4.77261e-05,102.35,8.51993e-06,767.751,9.92167e-05,5.12474e-05,503.244,0.175711,2259.53,-376617
4.82259e-05,102.48,8.55163e-06,766.718,9.86303e-05,5.09835e-05,502.046,0.175724,2263.11,-376323
4.87256e-05,102.61,8.58351e-06,765.683,9.80479e-05,5.072e-05,500.849,0.175739,2266.72,-376028
4.92254e-05,102.74,8.61559e-06,764.644,9.74696e-05,5.04568e-05,499.653,0.175755,2270.36,-375733
4.97251e-05,102.87,8.64785e-06,763.602,9.68953e-05,5.01939e-05,498.458,0.175773,2274.03,-375438
5.02249e-05,103,8.6803e-06,762.557,9.6325e-05,4.99313e-05,497.264,0.175791,2277.73,-375142
5.07246e-05,103.13,8.71294e-06,761.508,9.57586e-05,4.96691e-05,496.07,0.175811,2281.46,-374846
5.12244e-05,103.26,8.74577e-06,760.456,9.51961e-05,4.94071e-05,494.878,0.175833,2285.22,-374549
5.17241e-05,103.39,8.7788e-06,759.401,9.46374e-05,4.91454e-05,493.687,0.175856,2289.02,-374252
5.22239e-05,103.52,8.81203e-06,758.343,9.40827e-05,4.8884e-05,492.496,0.17588,2292.85,-373954
5.27236e-05,103.65,8.84546e-06,757.282,9.35317e-05,4.8623e-05,491.307,0.175906,2296.72,-373656
5.32234e-05,103.78,8.87909e-06,756.217,9.29845e-05,4.83622e-05,490.118,0.175933,2300.62,-373357
5.37231e-05,103.91,8.91292e-06,755.149,9.2441e-05,4.81018e-05,488.931,0.175961,2304.55,-373057
5.42229e-05,104.04,8.94696e-06,754.077,9.19012e-05,4.78417e-05,487.744,0.175991,2308.52,-372758
5.47226e-05,104.17,8.9812e-06,753.002,9.13651e-05,4.75819e-05,486.558,0.176023,2312.52,-372457
5.52224e-05,104.3,9.01566e-06,751.923,9.08326e-05,4.73224e-05,485.372,0.176056,2316.56,-372156
5.57221e-05,104.43,9.05032e-06,750.841,9.03037e-05,4.70633e-05,484.188,0.17609,2320.64,-371855
5.62219e-05,104.56,9.0852e-06,749.755,8.97783e-05,4.68044e-05,483.004,0.176125,2324.75,-371553
5.67216e-05,104.69,9.1203e-06,748.666,8.92565e-05,4.65459e-05,481.822,0.176162,2328.9,-371250
