x,T,thermo:psi,rho,thermo:mu,thermo:alpha,thermo:as,thermo:Z,Cp,he
2.49875e-07,90.0325,6.12189e-06,854.71,0.000181172,7.78461e-05,625.394,0.18818,2014.65,-402719
7.49625e-07,90.13,6.13645e-06,854.11,0.000180281,7.76344e-05,624.389,0.188108,2015.96,-402522
1.24938e-06,90.26,6.15592e-06,853.31,0.0001791,7.73522e-05,623.051,0.188014,2017.72,-402260
1.74913e-06,90.39,6.17547e-06,852.508,0.000177928,7.70702e-05,621.715,0.18792,2019.49,-401998
2.24888e-06,90.52,6.19511e-06,851.704,0.000176764,7.67882e-05,620.381,0.187827,2021.27,-401735
2.74863e-06,90.65,6.21484e-06,850.898,0.000175609,7.65063e-05,619.049,0.187736,2023.06,-401472
3.24838e-06,90.78,6.23465e-06,850.09,0.000174463,7.62246e-05,617.719,0.187645,2024.86,-401209
3.74813e-06,90.91,6.25456e-06,849.281,0.000173326,7.5943e-05,616.391,0.187555,2026.67,-400946
4.24788e-06,91.04,6.27454e-06,848.469,0.000172197,7.56615e-05,615.065,0.187466,2028.5,-400682
4.74763e-06,91.17,6.29462e-06,847.656,0.000171076,7.53801e-05,613.742,0.187379,2030.34,-400418
5.24738e-06,91.3,6.31479e-06,846.84,0.000169964,7.50988e-05,612.42,0.187292,2032.19,-400154
5.74713e-06,91.43,6.33504e-06,846.023,0.00016886,7.48176e-05,611.1,0.187206,2034.05,-399890
6.24688e-06,91.56,6.35539e-06,845.204,0.000167765,7.45366e-05,609.782,0.187122,2035.93,-399626
6.74663e-06,91.69,6.37583e-06,844.383,0.000166677,7.42557e-05,608.466,0.187038,2037.81,-399361
7.24638e-06,91.82,6.39636e-06,843.56,0.000165598,7.3975e-05,607.152,0.186956,2039.71,-399096
7.74613e-06,91.95,6.41698e-06,842.735,0.000164527,7.36943e-05,605.84,0.186874,2041.62,-398830
8.24588e-06,92.08,6.43769e-06,841.908,0.000163464,7.34138e-05,604.53,0.186793,2043.55,-398565
8.74563e-06,92.21,6.4585e-06,841.08,0.000162409,7.31335e-05,603.221,0.186714,2045.49,-398299
9.24538e-06,92.34,6.4794e-06,840.249,0.000161362,7.28533e-05,601.915,0.186635,2047.44,-398033
9.74513e-06,92.47,6.5004e-06,839.416,0.000160322,7.25732e-05,600.61,0.186558,2049.4,-397767
1.02449e-05,92.6,6.52149e-06,838.581,0.000159291,7.22933e-05,599.308,0.186481,2051.38,-397500
1.07446e-05,92.73,6.54268e-06,837.744,0.000158267,7.20135e-05,598.007,0.186406,2053.37,-397233
1.12444e-05,92.86,6.56396e-06,836.906,0.000157251,7.17339e-05,596.708,0.186332,2055.37,-396966
1.17441e-05,92.99,6.58534e-06,836.065,0.000156242,7.14544e-05,595.411,0.186258,2057.39,-396699
1.22439e-05,93.12,6.60682e-06,835.222,0.000155241,7.11751e-05,594.116,0.186186,2059.42,-396431
1.27436e-05,93.25,6.6284e-06,834.377,0.000154248,7.08959e-05,592.822,0.186115,2061.46,-396164
1.32434e-05,93.38,6.65008e-06,833.53,0.000153262,7.06169e-05,591.53,0.186044,2063.52,-395895
1.37431e-05,93.51,6.67186e-06,832.681,0.000152283,7.03381e-05,590.24,0.185975,2065.59,-395627
1.42429e-05,93.64,6.69373e-06,831.83,0.000151312,7.00594e-05,588.952,0.185907,2067.67,-395358
1.47426e-05,93.77,6.71572e-06,830.977,0.000150348,6.97809e-05,587.666,0.18584,2069.77,-395089
1.52424e-05,93.9,6.7378e-06,830.122,0.000149391,6.95026e-05,586.382,0.185774,2071.89,-394820
1.57421e-05,94.03,6.75999e-06,829.264,0.000148441,6.92244e-05,585.099,0.185709,2074.02,-394551
1.62419e-05,94.16,6.78228e-06,828.405,0.000147499,6.89464e-05,583.818,0.185645,2076.16,-394281
1.67416e-05,94.29,6.80468e-06,827.543,0.000146563,6.86686e-05,582.539,0.185582,2078.32,-394011
1.72414e-05,94.42,6.82718e-06,826.68,0.000145635,6.8391e-05,581.261,0.18552,2080.49,-393741
1.77411e-05,94.55,6.84978e-06,825.814,0.000144713,6.81135e-05,579.985,0.185459,2082.68,-393470
1.82409e-05,94.68,6.8725e-06,824.947,0.000143799,6.78363e-05,578.711,0.185399,2084.88,-393199
1.87406e-05,94.81,6.89532e-06,824.076,0.000142891,6.75592e-05,577.439,0.18534,2087.1,-392928
1.92404e-05,94.94,6.91826e-06,823.204,0.00014199,6.72823e-05,576.168,0.185283,2089.33,-392657
1.97401e-05,95.07,6.9413e-06,822.329,0.000141095,6.70056e-05,574.899,0.185226,2091.58,-392385
